,,,소계,매립시설,기타시설,소계,인건비,차량운영비,장비구입비,위탁처리비,시설관리비,기타
,장수군,"6,338,725","4,317,919","4,317,919",0,"2,020,806","169,604","21,899","157,515","1,229,155","316,875","125,758"
,임실군,"3,416,987",0,0,0,"3,416,987","2,280,176","98,000","297,948","448,863","292,000",0
,순창군,"2,142,700",0,0,0,"2,142,700","3,700","66,000","300,000","1,010,000","135,010","627,990"
,고창군,"12,048,463","5,801,797","306,266","5,495,531","6,246,666","4,355,667","385,936","96,968","228,028","1,006,129","173,938"
,부안군,"5,839,288","140,220",0,"140,220","5,699,068","3,797,736","1,004,857","896,475",0,0,0
전남,소계,"201,603,389","6,584,871","1,381,517","5,203,354","195,018,518","93,823,957","6,791,699","6,690,587","34,903,500","32,366,710","20,442,065"
,전남도,0,0,0,0,0,0,0,0,0,0,0
,목포시,"12,995,933",0,0,0,"12,995,933","9,867,346","624,120","376,692","1,602,159","113,933","411,683"
,여수시,"35,244,317",0,0,0,"35,244,317","17,063,154","956,288","1,293,212","2,682,356","10,111,963","3,137,344"
,순천시,"36,641,266","676,354",0,"676,354","35,964,912","8,575,000","370,698","741,478","14,297,000","3,050,492","8,930,244"
,나주시,"9,958,253",0,0,0,"9,958,253","5,295,854","283,139","554,896","2,925,270","899,094",0
,광양시,"10,930,093","2,274,600","1,000,000","1,274,600","8,655,493","6,267,241","1,408,633",0,"463,726","52,894","462,999"
,담양군,"4,664,008",0,0,0,"4,664,008","4,504,930",0,0,0,0,"159,078"
,곡성군,"2,976,555",0,0,0,"2,976,555","1,319,860","221,150","151,160","1,143,567","134,164","6,654"
,구례군,"3,622,300",0,0,0,"3,622,300","1,750,000","85,000","22,800","1,650,000","114,500",0
,고흥군,"8,432,336",0,0,0,"8,432,336","3,728,593","433,371","87,614","2,881,284","655,918","645,556"
,보성군,"5,118,488",0,0,0,"5,118,488","2,879,642",0,0,"1,423,450",0,"815,396"
,화순군,"7,204,956",0,0,0,"7,204,956","5,433,297","223,391","298,759","955,360","115,548","178,601"
,장흥군,"4,438,067",0,0,0,"4,438,067","2,131,394","26,673",0,"52,647","2,227,353",0
,강진군,"4,103,585","137,410","137,410",0,"3,966,175","1,844,975","151,873","110,000","287,918","1,271,409","300,000"
,해남군,"9,606,840","1,173,837","45,306","1,128,531","8,433,003","4,758,107","287,933","864,354","86,967","1,093,634","1,342,008"
,영암군,"5,883,590",0,0,0,"5,883,590","2,435,977","232,774","260,445","156,910","2,687,211","110,273"
,무안군,"8,821,378","118,070",0,"118,070","8,703,308","2,023,000","155,225","520,164","339,532","5,665,387",0
,함평군,"3,684,600","85,000",0,"85,000","3,599,600","1,047,451","155,140","462,089","1,403,250","332,770","198,900"
,영광군,"4,163,750",0,0,0,"4,163,750","2,025,261","332,297","119,759","1,128,954","557,479",0
,장성군,"5,334,990",0,0,0,"5,334,990","1,770,431","174,910","292,534","122,150","127,428","2,847,537"
,완도군,"4,723,100","615,000",0,"615,000","4,108,100","3,150,000","251,100","140,000","81,000","486,000",0
,진도군,"6,775,473",0,0,0,"6,775,473","3,665,127","264,857","42,441","942,000","965,256","895,792"
,신안군,"6,279,511","1,504,600","198,801","1,305,799","4,774,911","2,287,317","153,127","352,190","278,000","1,704,277",0
경북,소계,"287,017,538","24,345,564","4,449,309","19,896,255","262,671,974","81,102,464","4,233,022","3,930,331","121,402,540","30,979,408","21,024,209"
,포항시,"47,597,725","6,480,000",0,"6,480,000","41,117,725","19,553,235","822,678","509,141","16,462,245","1,931,839","1,838,587"
,경주시,"29,631,224",0,0,0,"29,631,224","5,090,541","354,749",0,"16,481,227","4,509,876","3,194,831"
,김천시,"31,447,686","15,155,418","3,149,309","12,006,109","16,292,268","4,165,176","677,247","864,731","10,121,629",0,"463,485"
,안동시,"13,534,974",0,0,0,"13,534,974","6,408,273","264,500","673,373","5,267,769","921,059",0
,구미시,"51,360,941",0,0,0,"51,360,941","14,457,274","421,731","398,797","12,821,455","10,467,684","12,794,000"
,영주시,"7,286,041",0,0,0,"7,286,041","2,024,765","175,713","239,994","4,808,840","16,100","20,629"
,영천시,"7,632,972","13,830",0,"13,830","7,619,142","2,990,254","164,817","4,785","4,372,290","86,996",0
,상주시,"7,940,098",0,0,0,"7,940,098","3,569,148","184,928",0,"251,285","3,934,737",0
,문경시,"7,866,798","44,226",0,"44,226","7,822,572","4,967,772","140,560","54,842","2,424,274","235,124",0
,경산시,"23,018,655","492,090",0,"492,090","22,526,565","5,640,806","68,739","13,680","16,271,453","515,472","16,415"
,군위군,"5,695,281","85,000",0,"85,000","5,610,281","453,640",0,"159,000","2,465,000","2,341,474","191,167"
,의성군,"5,285,317",0,0,0,"5,285,317","432,458","40,723","175,666","3,057,125","1,284,959","294,386"
,청송군,"2,000,000",0,0,0,"2,000,000",0,0,0,"2,000,000",0,0
,영양군,"1,986,741",0,0,0,"1,986,741","1,399,767","103,362",0,0,"483,612",0
,영덕군,"2,429,246",0,0,0,"2,429,246","2,134,282","294,964",0,0,0,0
,청도군,"2,940,000","1,300,000","1,300,000",0,"1,640,000","850,000","70,000","270,000",0,"350,000","100,000"
,고령군,"2,482,171",0,0,0,"2,482,171","32,525","15,522","61,880","2,183,162","16,611","172,471"
,성주군,"4,189,805",0,0,0,"4,189,805","437,594","19,033",0,"3,258,470","371,656","103,052"
,칠곡군,"9,971,023",0,0,0,"9,971,023","979,455",0,0,"8,161,708","754,112","75,748"
,예천군,"4,706,693",0,0,0,"4,706,693","2,471,921","268,776","200,000","1,609,252","104,064","52,680"
,봉화군,"5,142,853","75,000",0,"75,000","5,067,853","322,333",0,0,"2,630,418","1,524,692","590,410"
,울진군,"8,293,378",0,0,0,"8,293,378","1,370,551","53,252","197,405","4,995,755","922,461","753,954"
,울릉군,"4,577,916","700,000",0,"700,000","3,877,916","1,350,694","91,728","107,037","1,759,183","206,880","362,394"
경남,소계,"289,067,063","28,127,552","6,102,670","22,024,882","260,939,511","50,542,293","1,943,809","1,773,020","168,088,340","28,446,699","10,145,350"
,경남도,0,0,0,0,0,0,0,0,0,0,0
,창원시,"84,855,678",0,0,0,"84,855,678","21,629,284","280,996","92,320","60,951,797","1,901,281",0
