1. 생활폐기물 관리 구역 현황,,,,,,,,,,,,,,,,,
나. 시·군·구 생활폐기물 관리구역 현황,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
시도,시군구,전체행정구역,,,,생활폐기물 관리구역,,,,생활폐기물 관리제외지역,,,,관리제외지역 비율(%),,,
,,면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적(㎢),인구(명),동(읍·면)수(개소),세대수(가구),면적비,인구비,동수비,세대수비
,김제시,545.86,"83,895",19,"41,850",545.86,"83,895",19,"41,850",0.00,0,0,0,0.0,0.0,0.0,0.0
,완주군,821.06,"95,881",13,"41,800",821.06,"95,881",13,"41,800",0.00,0,0,0,0.0,0.0,0.0,0.0
,진안군,789.09,"26,070",11,"13,131",789.09,"26,070",11,"13,131",0.00,0,0,0,0.0,0.0,0.0,0.0
,무주군,631.76,"24,536",6,"12,421",631.76,"24,536",6,"12,421",0.00,0,0,0,0.0,0.0,0.0,0.0
,장수군,533.20,"22,818",7,"11,308",533.20,"22,818",7,"11,308",0.00,0,0,0,0.0,0.0,0.0,0.0
,임실군,597.22,"29,244",12,"14,788",597.22,"29,244",12,"14,788",0.00,0,0,0,0.0,0.0,0.0,0.0
,순창군,495.79,"28,777",11,"13,816",495.79,"28,777",11,"13,816",0.00,0,0,0,0.0,0.0,0.0,0.0
,고창군,607.48,"56,467",14,"28,735",607.48,"56,467",14,"28,735",0.00,0,0,0,0.0,0.0,0.0,0.0
,부안군,493.18,"54,150",13,"27,440",493.18,"54,150",13,"27,440",0.00,0,0,0,0.0,0.0,0.0,0.0
전남,소계,"12,345.20","1,903,383",297,"872,628","12,157.28","1,893,576",296,"866,581",187.92,"9,807",1,"6,047",1.5,0.5,0.3,0.7
,목포시,51.62,"233,175",23,"102,481",51.62,"233,175",23,"102,481",0.00,0,0,0,0.0,0.0,0.0,0.0
